kpi_id,sector,axis,name,question,input_type,formula,applicable_stages,input_fields
S1-[PT]-03,S-1,PT,내재 확장 메커니즘,우리 제품에서 매출이 자연스럽게 늘어나는 방식은 무엇이 있나요? (해당되는 것 모두 선택),MultiSelect(Weighted),,"A-2,A-3,A-4,A-5",
S1-[PT]-04,S-1,PT,커스터마이즈 의존도,신규 고객 도입에 프로젝트성 커스터마이즈가 얼마나 필요한가요?,Rubric,,"A-1,A-2,A-3,A-4,A-5",
S1-[PT]-05,S-1,PT,고객 고착도 (전환 비용),"현재 우리 고객이 경쟁 제품으로 전환하는 데 따르는 어려움(비용, 시간, 리스크)은 어느 정도인가요?",Rubric,,"A-2,A-3,A-4,A-5",
S1-[PF]-01,S-1,PF,사업계획 최신성(전체 재작성),최근 전체 사업계획을 현재 전략에 맞춰 다시 작성한 것은 몇 개월 전인가요?,Rubric,,"A-1,A-2,A-3,A-4,A-5",
S1-[PF]-02,S-1,PF,재무 시나리오·가정 정리,사업계획에 Base·Low·High 시나리오와 핵심 가정(가격·전환·리텐션 등)이 명확히 정리돼 있나요?,Rubric,,"A-1,A-2,A-3,A-4,A-5",
S1-[PF]-03,S-1,PF,재무 모델 최신성,재무 모델(파일)을 마지막으로 업데이트한 지 몇 개월 되었나요?,Rubric,,"A-3,A-4,A-5",
S1-[PF]-04,S-1,PF,캡테이블 최신성,현재 캡테이블이 최신 라운드와 스톡옵션 부여 현황까지 반영돼 있나요?,Rubric,,"A-2,A-3,A-4,A-5",
S1-[PF]-05,S-1,PF,1-pager & FAQ 충실도,Investor 1-pager & FAQ에 최신 핵심 지표/마일스톤과 예상 질문에 대한 답변(리스크 포함)이 정리돼 있나요?,Rubric,,"A-1,A-2,A-3,A-4,A-5",
S1-[PF]-06,S-1,PF,필수 섹션 충실도,사업계획의 필수 섹션이 얼마나 잘 준비되어 있나요? 아래 항목 중 ‘자신 있게 제출 가능’하다고 판단되는 섹션을 모두 선택해 주세요.,MultiSelect,,"A-1,A-2,A-3,A-4,A-5",
S1-[TO]-01,S-1,TO,창업자 도메인 경력(평균),핵심 창업자들(C-레벨)의 해당 산업/도메인 평균 경력은 몇 년인가요?,Rubric,,"A-1,A-2,A-3,A-4,A-5",
S1-[TO]-02,S-1,TO,창업·엑싯 트랙레코드,창업팀의 이전 창업/엑싯 경험 수준은 어느 단계인가요?,Rubric,,"A-1,A-2,A-3",
S1-[TO]-03,S-1,TO,공동창업자 풀타임 비율,핵심 창업팀의 업무 몰입도는 어느 수준인가요?,Rubric,,"A-1,A-2,A-3",
S1-[TO]-04,S-1,TO,핵심 포지션 커버리지,지금 팀이 보유한 핵심 포지션을 모두 선택해 주세요.,MultiSelect(Weighted),,"A-1,A-2,A-3,A-4,A-5",
S1-[TO]-05,S-1,TO,시니어 핵심 인재 보유,"시니어급 핵심 인재(리드/매니저 이상, 창업팀 제외)를 어느 정도 보유하고 있나요?",Rubric,,"A-1,A-2,A-3,A-4,A-5",
S1-[TO]-06,S-1,TO,파트너·생태계 구축,현재 확보한 파트너십/생태계 네트워크를 모두 선택해 주세요.,MultiSelect(Weighted),,"A-3,A-4,A-5",
